"estu_cod_reside_mcpio","estu_mcpio_reside"
"54720","SARDINATA"
"20011","AGUACHICA"
"70001","SINCELEJO"
"15776","SUTAMARCHÁN"
"25745","SIMIJACA"
"15248","EL ESPINO"
"85315","SÁCAMA"
"50226","CUMARAL"
"85139","MANÍ"
"15176","CHIQUINQUIRÁ"
"15114","BUSBANZÁ"
"54001","CÚCUTA"
"13430","MAGANGUÉ"
"25307","GIRARDOT"
"15236","CHIVOR"
"15232","CHÍQUIZA"
"50330","MESETAS"
"15401","LA VICTORIA"
"15693","SANTA ROSA DE VITERBO"
"68432","MÁLAGA"
"68755","SOCORRO"
"5649","SAN CARLOS"
"25269","FACATATIVÁ"
"68547","PIEDECUESTA"
"68266","ENCISO"
"68276","FLORIDABLANCA"
"97001","MITÚ"
"85410","TAURAMENA"
"15879","VIRACACHÁ"
"15226","CUÍTIVA"
"68264","ENCINO"
"66170","DOSQUEBRADAS"
"15550","PISBA"
"68572","PUENTE NACIONAL"
"68271","FLORIÁN"
"5088","BELLO"
"15494","NUEVO COLÓN"
"15162","CERINZA"
"15317","GUACAMAYAS"
"5615","RIONEGRO"
"5380","LA ESTRELLA"
"13001","CARTAGENA DE INDIAS"
"15087","BELÉN"
"15814","TOCA"
"25214","COTA"
"73449","MELGAR"
"15516","PAIPA"
"15135","CAMPOHERMOSO"
"68773","SUCRE"
"15832","TUNUNGUÁ"
"68020","ALBANIA"
"54874","VILLA DEL ROSARIO"
"25885","YACOPÍ"
"63130","CALARCÁ"
"15660","SAN EDUARDO"
"15183","CHITA"
"15442","MARIPÍ"
"15172","CHINAVITA"
"15469","MONIQUIRÁ"
"15518","PAJARITO"
"76001","CALI"
"5591","PUERTO TRIUNFO"
"25799","TENJO"
"68669","SAN ANDRÉS"
"15180","CHISCAS"
"15051","ARCABUCO"
"15740","SIACHOQUE"
"25436","MANTA"
"5266","ENVIGADO"
"15759","SOGAMOSO"
"15676","SAN MIGUEL DE SEMA"
"15816","TOGÜÍ"
"25843","VILLA DE SAN DIEGO DE UBATÉ"
"15362","IZA"
"68502","ONZAGA"
"15839","TUTAZÁ"
"15537","PAZ DE RÍO"
"19001","POPAYÁN"
"85279","RECETOR"
"25645","SAN ANTONIO DEL TEQUENDAMA"
"54810","TIBÚ"
"15244","EL COCUY"
"15522","PANQUEBA"
"54820","TOLEDO"
"25817","TOCANCIPÁ"
"17001","MANIZALES"
"15600","RÁQUIRA"
"15455","MIRAFLORES"
"15842","ÚMBITA"
"15272","FIRAVITOBA"
"50001","VILLAVICENCIO"
"25772","SUESCA"
"15407","VILLA DE LEYVA"
"15204","CÓMBITA"
"15690","SANTA MARÍA"
"15755","SOCOTÁ"
"68190","CIMITARRA"
"25386","LA MESA"
"85250","PAZ DE ARIPORO"
"15686","SANTANA"
"15325","GUAYATÁ"
"63001","ARMENIA"
"25154","CARMEN DE CARUPA"
"15097","BOAVITA"
"15403","LA UVITA"
"5631","SABANETA"
"25473","MOSQUERA"
"15757","SOCHA"
"15774","SUSACÓN"
"15131","CALDAS"
"86320","ORITO"
"15646","SAMACÁ"
"15580","QUÍPAMA"
"15500","OICATÁ"
"25001","AGUA DE DIOS"
"15322","GUATEQUE"
"15806","TIBASOSA"
"15185","CHITARAQUE"
"15798","TENZA"
"25286","FUNZA"
"25718","SASAIMA"
"15238","DUITAMA"
"15542","PESCA"
"15572","PUERTO BOYACÁ"
"15367","JENESANO"
"15790","TASCO"
,""
"25317","GUACHETÁ"
"25754","SOACHA"
"68679","SAN GIL"
"25297","GACHETÁ"
"15632","SABOYÁ"
"15368","JERICÓ"
"68298","GÁMBITA"
"18001","FLORENCIA"
"25288","FÚQUENE"
"85125","HATO COROZAL"
"15681","SAN PABLO DE BORBUR"
"15763","SOTAQUIRÁ"
"15425","MACANAL"
"68425","MACARAVITA"
"54800","TEORAMA"
"20001","VALLEDUPAR"
"15764","SORACÁ"
"86568","PUERTO ASÍS"
"15001","TUNJA"
"15218","COVARACHÍA"
"15090","BERBEO"
"15808","TINJACÁ"
"25175","CHÍA"
"85136","LA SALINA"
"25612","RICAURTE"
"15104","BOYACÁ"
"15533","PAYA"
"23068","AYAPEL"
"81065","ARAUQUITA"
"41001","NEIVA"
